"Kode Kecamatan
Kemendagri";"Kode Kecamatan
BPS";Kecamatan;SMP/MTS NEGERI_A;SMP/MTS NEGERI_B;SMP/MTS NEGERI_C;SMP/MTS NEGERI_NonAkred;SMP/MTS SWASTA_A;SMP/MTS SWASTA_B;SMP/MTS SWASTA_C;SMP/MTS SWASTA_NonAkred;Periode;Tahun
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;Januari;2025
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;Januari;2025
357822;3578030;GAYUNGAN;1;0;0;0;4;1;0;0;Januari;2025
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;Januari;2025
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;4;1;0;0;Januari;2025
357825;3578060;GUNUNG ANYAR;0;1;0;0;4;3;0;2;Januari;2025
357803;3578070;RUNGKUT;4;0;0;0;6;1;0;2;Januari;2025
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;Januari;2025
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;Januari;2025
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;Januari;2025
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;Januari;2025
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;Januari;2025
357820;3578130;WIYUNG;4;0;0;0;2;5;0;0;Januari;2025
357818;3578140;LAKARSANTRI;3;0;0;0;7;2;0;0;Januari;2025
357831;3578141;SAMBIKEREP;2;0;0;0;8;7;0;2;Januari;2025
357814;3578150;TANDES;1;0;0;0;7;5;1;0;Januari;2025
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;7;0;1;Januari;2025
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;Januari;2025
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;Januari;2025
357807;3578190;GENTENG;4;0;0;0;4;3;0;0;Januari;2025
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;Januari;2025
