Kecamatan,Kota,Jenis Faskes,Penyelenggara Faskes,Nama Faskes,Latitude,Longitude
Asemrowo,Surabaya,Puskesmas Induk,Pemerintah Kota,Puskesmas Asemrowo,-7.2388207,112.6714753
Asemrowo,Surabaya,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Tambak Langon,-7.2388207,112.6714753
Asemrowo,Surabaya,Klinik Pratama,swasta,NAYAKA HUSADA 03,-7.2388207,112.6714753
Benowo,Surabaya,Apotek,lainnya,KIMIA FARMA BUKIT PALMA,-7.2285631,112.6115998
Benowo,Surabaya,Rumah Sakit Umum,Pemerintah Kota,RS Umum Daerah Bhakti Dharma Husada,-7.2285631,112.6115998
Benowo,Surabaya,Puskesmas Induk,Pemerintah Kota,Puskesmas Sememi,-7.2285631,112.6115998
Benowo,Surabaya,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Kandangan,-7.2285631,112.6115998
Benowo,Surabaya,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Romo Kalisari,-7.2285631,112.6115998
Benowo,Surabaya,Rumah Sakit Umum,Swasta,RS Bunda,-7.2285631,112.6115998
Benowo,Surabaya,Apotek,swasta,KANDANGAN,-7.2285631,112.6115998
Benowo,Surabaya,Apotek,swasta,K - 96,-7.2285631,112.6115998
Benowo,Surabaya,Apotek,swasta,VIVA GENERIK KLAKAH REJO,-7.2285631,112.6115998
Benowo,Surabaya,Apotek,swasta,RENO FARMA,-7.2285631,112.6115998
Benowo,Surabaya,Apotek,swasta,HAPSARI,-7.2285631,112.6115998
Benowo,Surabaya,Apotek,swasta,BENOWO APPOTIK,-7.2285631,112.6115998
Benowo,Surabaya,Apotek,swasta,KUSURI MAINCARE,-7.2285631,112.6115998
Benowo,Surabaya,Apotek,swasta,Wahyu Buana Medika,-7.2285631,112.6115998
Benowo,Surabaya,Apotek,swasta,Pahala Bukit Palma,-7.2285631,112.6115998
Benowo,Surabaya,Klinik Pratama,swasta,KARYA MEDIKA 111,-7.2285631,112.6115998
Benowo,Surabaya,Klinik Pratama,swasta,DOKTER ANANG SURABAYA,-7.2285631,112.6115998
Bubutan,Surabaya,Puskesmas Induk,Pemerintah Kota,Puskesmas Gundih,-7.2466266,112.711117
Bubutan,Surabaya,Puskesmas Induk,Pemerintah Kota,Puskesmas Tembok Dukuh,-7.2466266,112.711117
Bubutan,Surabaya,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Asem Jajar,-7.2466266,112.711117
Bubutan,Surabaya,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak IBI Surabaya,-7.2466266,112.711117
Bubutan,Surabaya,Apotek,swasta,USAHA,-7.2466266,112.711117
Bubutan,Surabaya,Apotek,swasta,KALIBUTUH,-7.2466266,112.711117
Bubutan,Surabaya,Apotek,swasta,PRODERMA,-7.2466266,112.711117
Bubutan,Surabaya,Apotek,swasta,FILLINA,-7.2466266,112.711117
Bubutan,Surabaya,Apotek,swasta,NOVEM,-7.2466266,112.711117
Bubutan,Surabaya,Apotek,swasta,MEGA SURYA,-7.2466266,112.711117
Bubutan,Surabaya,Apotek,swasta,VIVA APOTEK PURWODADI,-7.2466266,112.711117
Bubutan,Surabaya,Toko Obat,swasta,CARREFOUR BUBUTAN,-7.2466266,112.711117
Bubutan,Surabaya,Toko Obat,swasta,XING LIN,-7.2466266,112.711117
Bubutan,Surabaya,Toko Obat,swasta,Super Indo Apartemen Gunawangsa,-7.2466266,112.711117
Bubutan,Surabaya,Klinik Pratama,swasta,Anugerah Karya Medika 102,-7.2466266,112.711117
Bubutan,Surabaya,Klinik Pratama,swasta,DON BOSCO,-7.2466266,112.711117
Bubutan,Surabaya,Klinik Pratama,swasta,SAMARIA,-7.2466266,112.711117
Bubutan,Surabaya,Klinik Pratama,swasta,DERMALOVE SCIENCE OF BEAUTY,-7.2466266,112.711117
Bulak,Surabaya,Apotek,lainnya,Kimia Farma Suramadu,-7.2322521,112.7710484
Bulak,Surabaya,Puskesmas Induk,Pemerintah Kota,Puskesmas Kenjeran,-7.2322521,112.7710484
Bulak,Surabaya,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Bulak,-7.2322521,112.7710484
Bulak,Surabaya,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Kedung Cowek,-7.2322521,112.7710484
Bulak,Surabaya,Apotek,swasta,VIVA APOTEK BULAK SETRO,-7.2322521,112.7710484
Bulak,Surabaya,Apotek,swasta,BITA MEDIKA,-7.2322521,112.7710484
Bulak,Surabaya,Apotek,swasta,Efi Barokah,-7.2322521,112.7710484
Bulak,Surabaya,Toko Obat,swasta,DWIJAYA SENTOSA ABADI,-7.2322521,112.7710484
Bulak,Surabaya,Klinik Pratama,TNI/POLRI,KENJERAN DISKES LANTAMAL V,-7.2322521,112.7710484
Bulak,Surabaya,Klinik Pratama,TNI/POLRI,PUSDIKLAT HANUDNAS,-7.2322521,112.7710484
Wonokromo,Surabaya,Klinik Pratama,swasta,KIMIA FARMA DARMO,-7.2941667,112.7207974
Dukuh Pakis,Surabaya,Apotek,lainnya,KIMIA FARMA 52,-7.2915497,112.6828133
Dukuh Pakis,Surabaya,Klinik Pratama,lainnya,GUNUNGSARI,-7.2915497,112.6828133
Dukuh Pakis,Surabaya,Puskesmas Induk,Pemerintah Kota,Puskesmas Dukuh Kupang,-7.2915497,112.6828133
Dukuh Pakis,Surabaya,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Gunungsari,-7.2915497,112.6828133
Dukuh Pakis,Surabaya,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Pradah Kali Kendal,-7.2915497,112.6828133
Dukuh Pakis,Surabaya,Apotek,swasta,DUTA FARMA,-7.2915497,112.6828133
