"Kode Kecamatan
Kemendagri";"Kode Kecamatan
BPS";Kecamatan;SD Inklusi;Siswa Inklusi SD;SMP Inklusi;Siswa Inklusi SMP;Periode;Tahun
357801;3578010;KARANG PILANG;2;42;1;1;Januari;2025
357823;3578020;JAMBANGAN;2;25;2;56;Januari;2025
357822;3578030;GAYUNGAN;6;87;1;5;Januari;2025
357802;3578040;WONOCOLO;6;107;2;36;Januari;2025
357824;3578050;TENGGILIS MEJOYO;4;16;1;49;Januari;2025
357825;3578060;GUNUNG ANYAR;2;29;1;2;Januari;2025
357803;3578070;RUNGKUT;3;60;2;44;Januari;2025
357809;3578080;SUKOLILO;5;138;3;62;Januari;2025
357826;3578090;MULYOREJO;2;27;1;32;Januari;2025
357808;3578100;GUBENG;5;120;1;6;Januari;2025
357804;3578110;WONOKROMO;3;31;3;57;Januari;2025
357821;3578120;DUKUH PAKIS;0;0;0;0;Januari;2025
357820;3578130;WIYUNG;0;0;0;0;Januari;2025
357818;3578140;LAKARSANTRI;5;27;2;49;Januari;2025
357831;3578141;SAMBIKEREP;3;62;2;90;Januari;2025
357814;3578150;TANDES;0;0;0;0;Januari;2025
357827;3578160;SUKOMANUNGGAL;5;36;3;13;Januari;2025
357806;3578170;SAWAHAN;6;149;1;58;Januari;2025
357805;3578180;TEGALSARI;5;89;1;4;Januari;2025
357807;3578190;GENTENG;3;40;4;98;Januari;2025
357810;3578200;TAMBAKSARI;8;132;2;116;Januari;2025
357817;3578210;KENJERAN;6;90;2;34;Januari;2025
357829;3578211;BULAK;2;47;1;1;Januari;2025
357811;3578220;SIMOKERTO;3;37;2;19;Januari;2025
357816;3578230;SEMAMPIR;6;157;2;50;Januari;2025
357812;3578240;PABEAN CANTIAN;2;24;1;1;Januari;2025
357813;3578250;BUBUTAN;3;28;1;38;Januari;2025
357815;3578260;KREMBANGAN;6;62;2;63;Januari;2025
357828;3578270;ASEM ROWO;1;24;1;3;Januari;2025
357819;3578280;BENOWO;3;38;1;1;Januari;2025
