Kode Kecamatan Kemendagri,Kode Kecamatan BPS,Kecamatan,SD/MI NEGERI_A,SD/MI NEGERI_B,SD/MI NEGERI_C,SD/MI NEGERI_NonAkred,SD/MI SWASTA_A,SD/MI SWASTA_B,SD/MI SWASTA_C,SD/MI SWASTA_NonAkred,SMP/MTS NEGERI_A,SMP/MTS NEGERI_B,SMP/MTS NEGERI_C,SMP/MTS NEGERI_NonAkred,SMP/MTS SWASTA_A,SMP/MTS SWASTA_B,SMP/MTS SWASTA_C,SMP/MTS SWASTA_NonAkred,SD Inklusi,Siswa Inklusi SD,SMP Inklusi,Siswa Inklusi SMP,7 L,7 P,8 L,8 P,9 L,9 P,10 L,10 P,11 L,11 P,12 L,12 P,13 L,13 P,14 L,14 P,15 L,15 P,16 L,16 P,Jumlah_Faskes,Latitude,Longitude,Periode,Tahun,Total SD A,Total SD B,Total SD C,Total SD Non Akred,Total SD/MI,Total SMP A,Total SMP B,Total SMP C,Total SMP Non Akred,Total SMP/MTS,Total Siswa Inklusi,Total Sekolah Inklusi,Umur SD,Umur SMP,Rasio_Faskes_per_1000_Anak
357801,3578010,KARANG PILANG,6,1,0,0,7,1,0,0,2.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,42.0,1.0,1.0,560,551,547,521,593,500,573,567,617,619,568,551,606,569,618,581,592,525,640,538,17,-7.3320941,112.6502361,Januari,2025,13,2,0,0,15,6.0,2.0,0.0,1.0,9.0,43.0,3.0,7942,4669,1.3480294980572516
357823,3578020,JAMBANGAN,6,0,0,0,5,1,0,0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,25.0,2.0,56.0,391,401,454,389,417,382,461,406,472,439,458,427,472,434,517,460,443,416,448,423,16,-7.3239747,112.6980679,Januari,2025,11,1,0,0,12,7.0,2.0,0.0,1.0,10.0,81.0,4.0,6003,3613,1.663893510815308
357822,3578030,GAYUNGAN,8,0,0,0,4,3,0,0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,87.0,1.0,5.0,353,286,320,311,331,296,356,302,355,333,379,327,358,377,329,348,331,346,355,320,29,-7.3280627,112.7092178,Januari,2025,12,3,0,0,15,5.0,1.0,0.0,0.0,6.0,92.0,7.0,4684,2764,3.8936627282491942
357802,3578040,WONOCOLO,8,1,0,0,7,2,1,0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,107.0,2.0,36.0,624,599,600,548,578,608,638,563,574,642,637,541,674,652,622,614,668,585,640,606,39,-7.3249826,112.7269134,Januari,2025,15,3,1,0,19,8.0,0.0,0.0,1.0,9.0,143.0,8.0,8478,5061,2.8805672501661865
357824,3578050,TENGGILIS MEJOYO,6,0,0,0,5,5,1,2,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,16.0,1.0,49.0,447,447,474,437,463,402,459,459,422,419,471,453,459,453,491,490,480,415,504,431,24,-7.3203825,112.7534341,Januari,2025,11,5,1,2,19,6.0,1.0,0.0,0.0,7.0,65.0,5.0,6265,3723,2.4028834601521827
357825,3578060,GUNUNG ANYAR,3,1,0,0,6,3,1,2,0.0,1.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,29.0,1.0,2.0,492,480,477,467,486,473,561,454,498,442,485,504,540,518,546,471,504,451,506,487,24,-7.3384129,112.7204897,Januari,2025,9,4,1,2,16,4.0,4.0,0.0,2.0,10.0,31.0,3.0,6877,4023,2.2018348623853212
357803,3578070,RUNGKUT,12,1,0,0,10,5,0,1,4.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,3.0,60.0,2.0,44.0,934,904,959,881,996,961,962,925,998,977,1084,936,1034,988,1019,947,1020,950,972,938,62,-7.3165016,112.7840058,Januari,2025,22,6,0,1,29,10.0,1.0,0.0,2.0,13.0,104.0,5.0,13539,7868,2.89624889054982
357809,3578080,SUKOLILO,11,0,0,0,17,5,0,0,5.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,5.0,138.0,3.0,62.0,958,861,909,886,970,829,886,822,958,859,960,885,976,965,932,924,912,843,945,903,58,-7.2906497,112.7867749,Januari,2025,28,5,0,0,33,15.0,3.0,0.0,1.0,19.0,200.0,8.0,12724,7400,2.882130789107533
357826,3578090,MULYOREJO,7,0,0,0,15,1,0,0,1.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,2.0,27.0,1.0,32.0,679,602,629,597,623,572,641,629,688,651,634,606,755,695,701,653,643,638,675,602,74,-7.2686064,112.7213797,Januari,2025,22,1,0,0,23,13.0,2.0,0.0,0.0,15.0,59.0,3.0,9001,5362,5.152126992968043
357808,3578100,GUBENG,13,0,0,0,8,6,2,0,1.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,5.0,120.0,1.0,6.0,910,804,945,855,895,850,963,866,1024,948,1040,943,1020,930,1034,946,970,892,1019,1018,90,-7.2844847,112.7432514,Januari,2025,21,6,2,0,29,10.0,3.0,0.0,0.0,13.0,126.0,6.0,12993,7829,4.322351359139372
